Intersection ID,Overlap Proportion
Intersection of Polygon 0 with 18 x 43,1.0,
Intersection of Polygon 0 with 18 x 44,1.0,
Intersection of Polygon 0 with 18 x 45,1.0,
Intersection of Polygon 0 with 18 x 46,1.0,
Intersection of Polygon 0 with 18 x 47,1.0,
Intersection of Polygon 0 with 18 x 48,1.0,
Intersection of Polygon 0 with 18 x 49,1.0,
Intersection of Polygon 0 with 19 x 33,0.2672948157412575,
Intersection of Polygon 0 with 19 x 34,0.9966301510909528,
Intersection of Polygon 0 with 19 x 35,1.0,
Intersection of Polygon 0 with 19 x 36,1.0,
Intersection of Polygon 0 with 19 x 37,1.0,
Intersection of Polygon 0 with 19 x 38,1.0,
Intersection of Polygon 0 with 19 x 39,1.0,
Intersection of Polygon 0 with 19 x 40,1.0,
Intersection of Polygon 0 with 19 x 41,1.0,
Intersection of Polygon 0 with 19 x 42,1.0,
Intersection of Polygon 0 with 19 x 43,1.0,
Intersection of Polygon 0 with 19 x 44,1.0,
Intersection of Polygon 0 with 19 x 45,1.0,
Intersection of Polygon 0 with 19 x 46,1.0,
Intersection of Polygon 0 with 19 x 47,1.0,
Intersection of Polygon 0 with 19 x 48,1.0,
Intersection of Polygon 0 with 19 x 49,1.0,
Intersection of Polygon 0 with 20 x 32,0.02444410476151484,
Intersection of Polygon 0 with 20 x 33,0.8597057691762333,
Intersection of Polygon 0 with 20 x 34,1.0,
Intersection of Polygon 0 with 20 x 35,1.0,
Intersection of Polygon 0 with 20 x 36,1.0,
Intersection of Polygon 0 with 20 x 37,1.0,
Intersection of Polygon 0 with 20 x 38,1.0,
Intersection of Polygon 0 with 20 x 39,1.0,
Intersection of Polygon 0 with 20 x 40,1.0,
Intersection of Polygon 0 with 20 x 41,1.0,
Intersection of Polygon 0 with 20 x 42,1.0,
Intersection of Polygon 0 with 20 x 43,1.0,
Intersection of Polygon 0 with 20 x 44,1.0,
Intersection of Polygon 0 with 20 x 45,1.0,
Intersection of Polygon 0 with 20 x 46,1.0,
Intersection of Polygon 0 with 20 x 47,1.0,
Intersection of Polygon 0 with 20 x 48,1.0,
Intersection of Polygon 0 with 20 x 49,1.0,
Intersection of Polygon 0 with 21 x 32,0.40634536710726465,
Intersection of Polygon 0 with 21 x 33,1.0,
Intersection of Polygon 0 with 21 x 34,1.0,
Intersection of Polygon 0 with 21 x 35,1.0,
Intersection of Polygon 0 with 21 x 36,1.0,
Intersection of Polygon 0 with 21 x 37,1.0,
Intersection of Polygon 0 with 21 x 38,1.0,
Intersection of Polygon 0 with 21 x 39,1.0,
Intersection of Polygon 0 with 21 x 40,1.0,
Intersection of Polygon 0 with 21 x 41,1.0,
Intersection of Polygon 0 with 21 x 42,1.0,
Intersection of Polygon 0 with 21 x 43,1.0,
Intersection of Polygon 0 with 21 x 44,1.0,
Intersection of Polygon 0 with 21 x 45,1.0,
Intersection of Polygon 0 with 21 x 46,1.0,
Intersection of Polygon 0 with 21 x 47,1.0,
Intersection of Polygon 0 with 21 x 48,1.0,
Intersection of Polygon 0 with 21 x 49,1.0,
Intersection of Polygon 0 with 22 x 31,0.0021943354784597783,
Intersection of Polygon 0 with 22 x 32,0.8622698325446582,
Intersection of Polygon 0 with 22 x 33,1.0,
Intersection of Polygon 0 with 22 x 34,1.0,
Intersection of Polygon 0 with 22 x 35,1.0,
Intersection of Polygon 0 with 22 x 36,1.0,
Intersection of Polygon 0 with 22 x 37,1.0,
Intersection of Polygon 0 with 22 x 38,1.0,
Intersection of Polygon 0 with 22 x 39,1.0,
Intersection of Polygon 0 with 22 x 40,1.0,
Intersection of Polygon 0 with 22 x 41,1.0,
Intersection of Polygon 0 with 22 x 42,1.0,
Intersection of Polygon 0 with 22 x 43,1.0,
Intersection of Polygon 0 with 22 x 44,1.0,
Intersection of Polygon 0 with 22 x 45,1.0,
Intersection of Polygon 0 with 22 x 46,1.0,
Intersection of Polygon 0 with 22 x 47,1.0,
Intersection of Polygon 0 with 22 x 48,1.0,
Intersection of Polygon 0 with 22 x 49,1.0,
Intersection of Polygon 0 with 23 x 31,0.20918927933512785,
Intersection of Polygon 0 with 23 x 32,1.0,
Intersection of Polygon 0 with 23 x 33,1.0,
Intersection of Polygon 0 with 23 x 34,1.0,
Intersection of Polygon 0 with 23 x 35,1.0,
Intersection of Polygon 0 with 23 x 36,1.0,
Intersection of Polygon 0 with 23 x 37,1.0,
Intersection of Polygon 0 with 23 x 38,1.0,
Intersection of Polygon 0 with 23 x 39,1.0,
Intersection of Polygon 0 with 23 x 40,1.0,
Intersection of Polygon 0 with 23 x 41,1.0,
Intersection of Polygon 0 with 23 x 42,1.0,
Intersection of Polygon 0 with 23 x 43,1.0,
Intersection of Polygon 0 with 23 x 44,1.0,
Intersection of Polygon 0 with 23 x 45,1.0,
Intersection of Polygon 0 with 23 x 46,1.0,
Intersection of Polygon 0 with 23 x 47,1.0,
Intersection of Polygon 0 with 23 x 48,1.0,
Intersection of Polygon 0 with 23 x 49,1.0,
Intersection of Polygon 0 with 24 x 31,0.6886621315192744,
Intersection of Polygon 0 with 24 x 32,1.0,
Intersection of Polygon 0 with 24 x 33,1.0,
Intersection of Polygon 0 with 24 x 34,1.0,
Intersection of Polygon 0 with 24 x 35,1.0,
Intersection of Polygon 0 with 24 x 36,1.0,
Intersection of Polygon 0 with 24 x 37,1.0,
Intersection of Polygon 0 with 24 x 38,1.0,
Intersection of Polygon 0 with 24 x 39,1.0,
Intersection of Polygon 0 with 24 x 40,1.0,
Intersection of Polygon 0 with 24 x 41,1.0,
Intersection of Polygon 0 with 24 x 42,1.0,
Intersection of Polygon 0 with 24 x 43,1.0,
Intersection of Polygon 0 with 24 x 44,1.0,
Intersection of Polygon 0 with 24 x 45,1.0,
Intersection of Polygon 0 with 24 x 46,1.0,
Intersection of Polygon 0 with 24 x 47,1.0,
Intersection of Polygon 0 with 24 x 48,1.0,
Intersection of Polygon 0 with 24 x 49,1.0,
Intersection of Polygon 0 with 25 x 30,0.11033775164504735,
Intersection of Polygon 0 with 25 x 31,0.9976205566068123,
Intersection of Polygon 0 with 25 x 32,1.0,
Intersection of Polygon 0 with 25 x 33,1.0,
Intersection of Polygon 0 with 25 x 34,1.0,
Intersection of Polygon 0 with 25 x 35,1.0,
Intersection of Polygon 0 with 25 x 36,1.0,
Intersection of Polygon 0 with 25 x 37,1.0,
Intersection of Polygon 0 with 25 x 38,1.0,
Intersection of Polygon 0 with 25 x 39,1.0,
Intersection of Polygon 0 with 25 x 40,1.0,
Intersection of Polygon 0 with 25 x 41,1.0,
Intersection of Polygon 0 with 25 x 42,1.0,
Intersection of Polygon 0 with 25 x 43,1.0,
Intersection of Polygon 0 with 25 x 44,1.0,
Intersection of Polygon 0 with 25 x 45,1.0,
Intersection of Polygon 0 with 25 x 46,1.0,
Intersection of Polygon 0 with 25 x 47,1.0,
Intersection of Polygon 0 with 25 x 48,1.0,
Intersection of Polygon 0 with 25 x 49,1.0,
Intersection of Polygon 0 with 26 x 30,0.4242804001653445,
Intersection of Polygon 0 with 26 x 31,1.0,
Intersection of Polygon 0 with 26 x 32,1.0,
Intersection of Polygon 0 with 26 x 33,1.0,
Intersection of Polygon 0 with 26 x 34,1.0,
Intersection of Polygon 0 with 26 x 35,1.0,
Intersection of Polygon 0 with 26 x 36,1.0,
Intersection of Polygon 0 with 26 x 37,1.0,
Intersection of Polygon 0 with 26 x 38,1.0,
Intersection of Polygon 0 with 26 x 39,1.0,
Intersection of Polygon 0 with 26 x 40,1.0,
Intersection of Polygon 0 with 26 x 41,1.0,
Intersection of Polygon 0 with 26 x 42,1.0,
Intersection of Polygon 0 with 26 x 43,1.0,
Intersection of Polygon 0 with 26 x 44,1.0,
Intersection of Polygon 0 with 26 x 45,1.0,
Intersection of Polygon 0 with 26 x 46,1.0,
Intersection of Polygon 0 with 26 x 47,1.0,
Intersection of Polygon 0 with 26 x 48,1.0,
Intersection of Polygon 0 with 26 x 49,1.0,
Intersection of Polygon 0 with 27 x 30,0.7758242228365251,
Intersection of Polygon 0 with 27 x 31,1.0,
Intersection of Polygon 0 with 27 x 32,1.0,
Intersection of Polygon 0 with 27 x 33,1.0,
Intersection of Polygon 0 with 27 x 34,1.0,
Intersection of Polygon 0 with 27 x 35,1.0,
Intersection of Polygon 0 with 27 x 36,1.0,
Intersection of Polygon 0 with 27 x 37,1.0,
Intersection of Polygon 0 with 27 x 38,1.0,
Intersection of Polygon 0 with 27 x 39,1.0,
